,Tp,Cl,pH,Redox,Leit,Trueb,Cl_2,Fm,Fm_2,label
0,6.5,0.17,8.36,749.0,211.0,0.011,0.118,1677.0,695.0,0
1,6.5,0.17,8.36,749.0,211.0,0.011,0.118,1561.0,696.0,0
2,6.5,0.17,8.35,749.0,211.0,0.011,0.117,1581.0,696.0,0
3,6.5,0.17,8.35,749.0,211.0,0.011,0.118,1579.0,693.0,0
4,6.5,0.17,8.35,749.0,211.0,0.011,0.118,1567.0,689.0,0
5,6.5,0.17,8.35,749.0,211.0,0.012,0.118,1553.0,689.0,0
6,6.5,0.17,8.35,749.0,211.0,0.011,0.118,1552.0,695.0,0
7,6.5,0.17,8.35,749.0,211.0,0.011,0.118,1603.0,694.0,0
8,6.5,0.17,8.34,749.0,211.0,0.011,0.12,1559.0,700.0,0
9,6.5,0.17,8.34,749.0,211.0,0.011,0.118,1604.0,690.0,0
10,6.5,0.17,8.34,749.0,211.0,0.011,0.118,1570.0,696.0,0
11,6.5,0.17,8.34,749.0,211.0,0.011,0.12,1550.0,699.0,0
12,6.5,0.17,8.34,749.0,211.0,0.011,0.118,1642.0,694.0,0
13,6.6,0.17,8.34,749.0,211.0,0.011,0.118,1547.0,695.0,0
14,6.5,0.17,8.34,749.0,211.0,0.011,0.12,1587.0,696.0,0
15,6.5,0.17,8.34,749.0,211.0,0.011,0.117,1616.0,696.0,0
16,6.5,0.17,8.34,749.0,211.0,0.015,0.118,1540.0,699.0,0
17,6.6,0.17,8.34,749.0,211.0,0.012,0.121,1615.0,694.0,0
18,6.6,0.17,8.34,749.0,211.0,0.011,0.118,1517.0,700.0,0
19,6.5,0.17,8.34,749.0,211.0,0.012,0.12,1609.0,695.0,0
20,6.6,0.18,8.35,749.0,211.0,0.011,0.118,1546.0,693.0,0
21,6.5,0.18,8.35,749.0,211.0,0.011,0.12,1572.0,696.0,0
22,6.6,0.18,8.34,749.0,211.0,0.011,0.118,1597.0,687.0,0
23,6.5,0.18,8.34,749.0,211.0,0.011,0.118,1553.0,699.0,0
24,6.5,0.18,8.35,749.0,211.0,0.011,0.118,1598.0,689.0,0
25,6.5,0.18,8.35,749.0,211.0,0.011,0.118,1614.0,694.0,0
26,6.5,0.18,8.35,749.0,211.0,0.011,0.117,1603.0,694.0,0
27,6.6,0.18,8.36,749.0,211.0,0.011,0.118,1575.0,696.0,0
28,6.6,0.18,8.36,749.0,211.0,0.013,0.118,1582.0,701.0,0
29,6.5,0.18,8.36,749.0,211.0,0.011,0.117,1553.0,704.0,0
30,6.6,0.18,8.36,749.0,211.0,0.011,0.117,1555.0,700.0,0
31,6.6,0.18,8.37,749.0,211.0,0.011,0.118,1545.0,695.0,0
32,6.6,0.17,8.37,749.0,211.0,0.011,0.118,1599.0,696.0,0
33,6.5,0.17,8.37,749.0,211.0,0.01,0.118,1581.0,694.0,0
34,6.5,0.18,8.38,749.0,211.0,0.011,0.116,1581.0,700.0,0
35,6.5,0.17,8.38,749.0,211.0,0.01,0.117,1579.0,696.0,0
36,6.5,0.18,8.37,749.0,211.0,0.01,0.114,1572.0,689.0,0
37,6.5,0.17,8.38,749.0,211.0,0.01,0.116,1552.0,693.0,0
38,6.5,0.17,8.38,748.0,211.0,0.01,0.117,1593.0,689.0,0
39,6.6,0.17,8.38,749.0,211.0,0.01,0.117,1626.0,688.0,0
40,6.5,0.17,8.39,748.0,211.0,0.01,0.116,1609.0,694.0,0
41,6.5,0.17,8.39,749.0,211.0,0.01,0.118,1575.0,688.0,0
42,6.6,0.17,8.39,749.0,211.0,0.01,0.117,1555.0,694.0,0
